2026-08-30T01:41:24Z	Reproc por trozos (generico, cualquier perfil A/B)	workflow_dispatch
2026-08-30T01:41:22Z	Reproc por trozos (generico, cualquier perfil A/B)	workflow_dispatch
2026-08-30T01:41:04Z	Tests	pull_request
2026-08-30T01:40:29Z	Tests	push
2026-08-30T01:24:55Z	NRT Retry (NASA recovery)	schedule
2026-08-30T01:19:10Z	Deploy GitHub Pages	workflow_run
2026-08-30T00:46:59Z	Deploy GitHub Pages	schedule
2026-08-30T00:18:08Z	.github/workflows/sync-mirova-csv.yml	schedule
2026-08-29T23:53:12Z	NRT VRP Pipeline (both profiles)	schedule
2026-08-29T21:51:05Z	NRT Retry (NASA recovery)	schedule
2026-08-29T21:42:45Z	.github/workflows/sync-mirova-csv.yml	schedule
2026-08-29T21:35:38Z	Deploy GitHub Pages	workflow_run
2026-08-29T21:19:39Z	Deploy GitHub Pages	schedule
2026-08-29T21:04:34Z	NRT Monitor — alerta si fallan 3+ corridas	schedule
2026-08-29T20:26:54Z	NRT VRP Pipeline (both profiles)	schedule
2026-08-29T18:43:37Z	NRT Retry (NASA recovery)	schedule
2026-08-29T18:26:30Z	.github/workflows/sync-mirova-csv.yml	schedule
2026-08-29T18:00:37Z	Tests	pull_request
2026-08-29T17:55:39Z	Deploy GitHub Pages	schedule
2026-08-29T17:38:48Z	Deploy GitHub Pages	workflow_run
2026-08-29T17:06:24Z	Tests	push
2026-08-29T17:06:20Z	Tests	push
2026-08-29T16:49:58Z	NRT Monitor — alerta si fallan 3+ corridas	schedule
2026-08-29T16:14:24Z	NRT VRP Pipeline (both profiles)	schedule
2026-08-29T15:55:14Z	Tests	pull_request
2026-08-29T15:55:11Z	Tests	pull_request
2026-08-29T15:53:34Z	NRT Healthcheck (Tier A staleness)	schedule
2026-08-29T15:49:40Z	Tests	push
2026-08-29T15:49:40Z	Deploy GitHub Pages	push
2026-08-29T15:34:45Z	Tests	pull_request
2026-08-29T15:17:32Z	Tests	pull_request
2026-08-29T15:16:19Z	Tests	pull_request
2026-08-29T15:10:59Z	Tests	pull_request
2026-08-29T15:02:25Z	Tests	pull_request
2026-08-29T14:58:34Z	Tests	pull_request
2026-08-29T14:36:21Z	NRT Retry (NASA recovery)	schedule
2026-08-29T14:30:04Z	Reproc por trozos (generico, cualquier perfil A/B)	workflow_dispatch
2026-08-29T14:30:02Z	Reproc por trozos (generico, cualquier perfil A/B)	workflow_dispatch
2026-08-29T14:29:50Z	Tests	push
2026-08-29T14:27:49Z	Tests	pull_request
2026-08-29T14:26:56Z	.github/workflows/sync-mirova-csv.yml	schedule
2026-08-29T14:26:12Z	Tests	push
2026-08-29T14:25:56Z	Tests	pull_request
2026-08-29T14:20:39Z	Tests	push
2026-08-29T14:20:09Z	Tests	pull_request
2026-08-29T14:18:54Z	Tests	pull_request
2026-08-29T14:14:49Z	Reproc por trozos (generico, cualquier perfil A/B)	workflow_dispatch
2026-08-29T14:14:47Z	Reproc por trozos (generico, cualquier perfil A/B)	workflow_dispatch
2026-08-29T14:01:24Z	Deploy GitHub Pages	schedule
2026-08-29T12:07:41Z	Deploy GitHub Pages	workflow_run
2026-08-29T10:48:52Z	NRT VRP Pipeline (both profiles)	schedule
2026-08-29T09:03:53Z	.github/workflows/sync-mirova-csv.yml	schedule
2026-08-29T08:01:23Z	NRT Retry (NASA recovery)	schedule
2026-08-29T07:28:12Z	Deploy GitHub Pages	schedule
2026-08-29T07:16:53Z	NRT Monitor — alerta si fallan 3+ corridas	schedule
2026-08-29T04:01:03Z	Deploy GitHub Pages	workflow_run
2026-08-29T02:42:48Z	NRT VRP Pipeline (both profiles)	schedule
2026-08-29T02:09:43Z	.github/workflows/sync-mirova-csv.yml	schedule
2026-08-29T01:03:55Z	NRT Retry (NASA recovery)	schedule
