identidad del predicado: True
sensor MODIS | ventana ('2026-03-01', '2026-09-21') | alertas de MIROVA con record nuestro: 77
   68  hay deteccion pero distance_class no es summit
    9  PUBLICA
por volcan: {'Lascar': {'hay deteccion pero distance_class no es summit': 68, 'PUBLICA': 8}, 'Villarrica': {'PUBLICA': 1}}
   Lascar             2026-05-13 07:35 | MIROVA 0.76 MW (CONS) | regimen pre535 | dc far | n_px 90 | pc.vrp 0.066 | pc.dist 0.916 | vrp_mw 5.0 | t1 False | z 9.86 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-05-15 01:25 | MIROVA 0.86 MW (CONS) | regimen pre535 | dc far | n_px 53 | pc.vrp 0.417 | pc.dist 2.233 | vrp_mw 5.0 | t1 False | z 22.19 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-05-18 07:30 | MIROVA 0.34 MW (CONS) | regimen pre535 | dc far | n_px 105 | pc.vrp 0.197 | pc.dist 3.195 | vrp_mw 5.0 | t1 False | z 24.14 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-05-20 01:25 | MIROVA 0.39 MW (CONS) | regimen pre535 | dc far | n_px 66 | pc.vrp 0.179 | pc.dist 1.45 | vrp_mw 5.0 | t1 False | z 23.11 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-05-29 07:55 | MIROVA 0.24 MW (CONS) | regimen pre535 | dc far | n_px 68 | pc.vrp 0.262 | pc.dist 2.678 | vrp_mw 5.0 | t1 False | z 28.39 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-06-03 07:45 | MIROVA 1.15 MW (CONS) | regimen pre535 | dc far | n_px 82 | pc.vrp 4.849 | pc.dist 0.644 | vrp_mw 5.0 | t1 False | z 14.13 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-06-07 01:40 | MIROVA 0.34 MW (CONS) | regimen pre535 | dc far | n_px 70 | pc.vrp 2.56 | pc.dist 2.521 | vrp_mw 5.0 | t1 False | z 15.88 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-06-08 07:40 | MIROVA 0.42 MW (CONS) | regimen pre535 | dc far | n_px 111 | pc.vrp 0.262 | pc.dist 1.886 | vrp_mw 5.0 | t1 False | z 1.49 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-06-13 07:35 | MIROVA 0.58 MW (CONS) | regimen pre535 | dc far | n_px 93 | pc.vrp 0.328 | pc.dist 2.237 | vrp_mw 5.0 | t1 False | z 16.74 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-06-16 07:50 | MIROVA 0.32 MW (CONS) | regimen pre535 | dc far | n_px 78 | pc.vrp 0.459 | pc.dist 1.694 | vrp_mw 5.0 | t1 False | z 17.57 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-06-17 01:40 | MIROVA 0.35 MW (CONS) | regimen pre535 | dc far | n_px 46 | pc.vrp 0.06 | pc.dist 1.449 | vrp_mw 5.0 | t1 False | z 13.98 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-06-21 07:45 | MIROVA 0.59 MW (CONS) | regimen pre535 | dc far | n_px 118 | pc.vrp 0.459 | pc.dist 1.993 | vrp_mw 5.0 | t1 False | z 1.89 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-06-24 01:15 | MIROVA 0.27 MW (CONS) | regimen pre535 | dc far | n_px 68 | pc.vrp 1.786 | pc.dist 0.948 | vrp_mw 5.0 | t1 False | z 30.68 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-06-24 08:00 | MIROVA 0.60 MW (CONS) | regimen pre535 | dc far | n_px 104 | pc.vrp 2.293 | pc.dist 1.269 | vrp_mw 5.0 | t1 False | z 33.59 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-06-26 07:40 | MIROVA 0.24 MW (CONS) | regimen pre535 | dc far | n_px 144 | pc.vrp 2.687 | pc.dist 2.857 | vrp_mw 5.0 | t1 False | z 13.85 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-06-27 01:35 | MIROVA 1.12 MW (CONS) | regimen pre535 | dc far | n_px 113 | pc.vrp 2.083 | pc.dist 1.883 | vrp_mw 5.0 | t1 False | z 10.45 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-06-29 07:55 | MIROVA 0.51 MW (CONS) | regimen pre535 | dc far | n_px 92 | pc.vrp 0.459 | pc.dist 1.377 | vrp_mw 5.0 | t1 False | z 20.12 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-07-09 07:40 | MIROVA 0.27 MW (CONS) | regimen pre535 | dc far | n_px 222 | pc.vrp 0.655 | pc.dist 2.006 | vrp_mw 5.0 | t1 False | z 12.13 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-07-30 07:55 | MIROVA 0.39 MW (CONS) | regimen pre535 | dc far | n_px 218 | pc.vrp 1.704 | pc.dist 0.8 | vrp_mw 5.0 | t1 False | z 10.17 | descartado partial_eruption_hotspot_too_far
   Lascar             2026-08-21 01:20 | MIROVA 0.40 MW (CONS) | regimen pre535 | dc far | n_px 129 | pc.vrp 3.988 | pc.dist 1.561 | vrp_mw 5.0 | t1 False | z 8.25 | descartado partial_eruption_hotspot_too_far
