volcano,sensor_bucket,ventana_dias,n_ours_vrp_gt_0,n_mirova_vrp_gt_0,n_matched,n_only_ours_FP,n_only_mirova_FN,ratio_median,ratio_p25,ratio_p75,p_value_wilcoxon,max_ours,max_mirova
PlanchonPeteroa,VIIRS375,90d,0,67,0,0,408,,,,,0.0,14.69
PlanchonPeteroa,VIIRS375,all,0,78,0,0,581,,,,,0.0,14.69
PlanchonPeteroa,VIIRS,7d,26,0,0,26,0,,,,,5.057,0.0
PlanchonPeteroa,VIIRS,30d,113,2,2,111,0,4.537373737373738,3.2742424242424244,5.80050505050505,,20.47,0.33
PlanchonPeteroa,VIIRS,90d,312,3,1,311,2,7.0636363636363635,7.0636363636363635,7.0636363636363635,,20.47,1.8
PlanchonPeteroa,VIIRS,all,392,3,2,390,1,4.537373737373738,3.2742424242424244,5.80050505050505,,20.47,1.8
Lastarria,MODIS,7d,1,0,0,1,0,,,,,409.925,0.0
Lastarria,MODIS,30d,1,0,0,1,0,,,,,409.925,0.0
Lastarria,MODIS,90d,6,1,0,6,1,,,,,409.925,16.51
Lastarria,MODIS,all,7,1,0,7,1,,,,,409.925,16.51
Lastarria,VIIRS375,7d,0,19,0,0,33,,,,,0.0,5.12
Lastarria,VIIRS375,30d,0,84,0,0,138,,,,,0.0,5.12
Lastarria,VIIRS375,90d,0,177,0,0,373,,,,,0.0,5.12
Lastarria,VIIRS375,all,0,222,0,0,532,,,,,0.0,5.12
Lastarria,VIIRS,7d,11,0,0,11,0,,,,,0.186,0.0
Lastarria,VIIRS,30d,89,0,0,89,0,,,,,5.152,0.0
Lastarria,VIIRS,90d,333,0,0,333,0,,,,,10.658,0.0
Lastarria,VIIRS,all,444,0,0,444,0,,,,,10.658,0.0
Isluga,MODIS,7d,3,0,0,3,0,,,,,193.744,0.0
Isluga,MODIS,30d,8,0,0,8,0,,,,,268.777,0.0
Isluga,MODIS,90d,9,0,0,9,0,,,,,268.777,0.0
Isluga,MODIS,all,12,0,0,12,0,,,,,504.251,0.0
Isluga,VIIRS375,7d,0,10,0,0,33,,,,,0.0,0.81
Isluga,VIIRS375,30d,0,38,0,0,135,,,,,0.0,2.91
Isluga,VIIRS375,90d,0,95,0,0,361,,,,,0.0,7.49
Isluga,VIIRS375,all,0,115,0,0,514,,,,,0.0,7.49
Isluga,VIIRS,7d,32,1,1,31,0,3.094444444444445,3.094444444444445,3.094444444444445,,6.876,0.36
Isluga,VIIRS,30d,130,6,5,125,1,3.813333333333333,2.603030303030303,10.774074074074072,,19.451,0.43
